praf,pmek,plcg,PIP2,PIP3,p44_42,pakts473,PKA,PKC,P38,pjnk
73,41.4,2.94,2.48,5.14,51.9,101,890,27.1,62.6,18.8
64.9,43.3,6.1,1,28.4,10,22.9,491,12.2,25.9,6.61
35.5,14.5,4.96,5.57,5.19,6.92,41.8,65.5,22.3,54.2,35.9
10.4,9.82,5.94,1,16.7,28.1,49.6,331,6.26,24.4,10.5
85.1,20.5,3.02,1.07,17,7.99,23.1,316,49.1,68.5,16
63.8,34.3,3.34,1,14.3,15,63.8,931,1,20,67.9
3.62,2.15,2.46,3.65,10.5,38.2,93.1,2054,13.7,16.4,9.56
39.6,20.4,4.91,1.01,8.43,13.6,26.2,136,3.49,12.6,62.1
43.7,12.5,3.62,2.69,6.73,6.1,28.1,583,30.5,49.1,15.8
61,28.9,10.3,1.01,20.7,111,184,491,12.5,37.2,7.1
23.3,27.4,9.06,1.01,6.92,25,77.7,478,39.2,109,26.2
64.4,15.1,3.49,2.19,1.96,28.4,90.6,1860,23.7,39.6,23.5
34,14.7,2.48,2.64,16.1,44.1,85.8,1114,1.86,19.5,25.7
72.3,50.9,2.92,2.84,13.7,31.6,62.6,474,16.5,30,4.78
63.8,21.7,7.77,1.58,21.5,14.5,28.1,382,14.1,33.1,19.6
76.4,18.6,6.44,1.47,21.3,47.4,119,2393,2.64,17.5,62.6
191,67.9,1,1.37,1.93,43.3,63.2,552,10.1,34.6,12
30,16,10.3,7.57,2.23,28.4,54.2,791,8.2,16.5,9.82
61.5,23.1,1.46,1.13,1.04,11.8,30.8,547,18.8,36.2,13.7
23.7,22.5,6.15,2.44,13.7,5.52,38.2,552,37.5,86.6,58.8
90.6,36.5,4.74,1.01,19.6,23.3,30,271,26.9,40.7,16.3
27.4,26.9,8.2,2.62,8.51,18.9,37.2,246,36.8,67.9,34.9
59.4,32.8,7.17,7.23,21.5,9.56,29.4,246,56.7,108,64.9
1,7.5,17.8,4.74,12.4,6.67,32.5,552,5.09,32.2,57.3
16.1,17.9,1.83,1.01,10.3,53.3,94.7,542,17.6,42.2,16.1
55.7,31.6,8.06,2.69,16.5,9.31,28.1,1009,10.9,31.1,13.7
34.6,15.4,1.24,4.14,16.5,18.1,30.8,241,12.5,21.3,12.6
57.3,33.4,4.87,1.01,10.5,10.4,47,1407,45.3,50.9,21.7
57.8,22.9,4.57,1.6,32.8,6.15,14.1,255,8.2,42.2,264
67.9,36.5,14.5,5.14,10.3,45.7,80.6,898,18.4,34.3,22.3
78.4,42.6,8.28,1.5,20.2,49.6,97.3,784,13.7,19.1,9.06
31.3,16.7,10.2,5.09,20.4,22.5,48.3,828,6.21,24.1,94.7
7.5,22.3,7.99,4.1,13.7,15.4,21.7,211,40.3,76.4,27.1
38.5,23.9,1.37,2.21,4.29,33.7,61,730,10,17.9,6.44
77.7,75,8.43,1.14,30.5,25,55.7,316,42.9,61,14.1
46.1,39.2,6.38,1.14,14.3,3.02,19.5,828,3.02,16.5,83.5
82,26.9,3.31,8.13,23.5,8.13,23.7,610,20.4,33.7,22.1
85.1,24.1,5.88,2.29,18.8,11.5,22.5,437,5.47,42.9,90.6
80.6,45.7,2.31,3.46,19.6,29.2,27.9,334,11,24.4,18.1
82.8,25.7,7.3,1.86,10.7,9.14,23.3,349,20.7,44.9,23.7
60.4,35.5,6.92,1.39,13.7,20.2,67.9,1512,37.2,40.3,11.2
129,62.1,8.13,1.01,24.1,120,217,679,15.7,39.6,13
66.1,28.1,11.5,3.82,8.35,2.81,11.5,319,21.9,40.3,22.1
52.8,27.1,3.31,3.89,2.64,21.9,44.5,426,12.2,33.7,4.14
37.5,26.9,15.4,1,1.63,13.2,55.2,1382,26.2,47.8,31.6
57.8,34.3,4.87,1.95,14.6,16.8,32.8,289,13.2,23.9,22.1
129,51.4,2.07,4.41,9.22,25.5,33.4,227,1.78,39.6,8.51
30.2,20.5,3.13,8.74,3.59,12.3,27.4,349,22.3,43.3,5
72.3,20.9,3.59,1.01,24.6,78.4,138,1486,32.2,45.3,15.1
58.8,34.9,3.49,368,39.6,17.8,27.9,331,23.3,51.9,98.2
71.7,27.6,4.91,3.96,8.35,21.3,34.3,274,30,63.2,13.3
54.7,19.8,3.19,1,23.7,16.3,176,113,11.8,53.3,78.4
25,25,15.3,2.29,32.2,20.9,41.8,227,5.28,20,82.8
21.7,11.8,2.84,2.29,9.91,21.5,37.5,267,31.6,63.8,67.9
59.4,31.1,6.61,1,1.53,16.4,23.7,379,1.58,8.13,2.55
41.4,24.4,2.41,1,12.7,67.3,135,626,18.3,29.2,13
47.8,25.9,7.17,1,16.5,23.1,40.7,379,3.43,30,4.07
21.1,18.8,4,3.85,3.11,55.7,85.8,433,50.5,109,52.8
45.3,19.8,16.4,4.78,8.35,6.44,17.5,610,12.6,24.8,10.9
66.7,30,1.54,7.99,25.3,30.8,50.5,289,11.2,18.4,4.1
38.5,22.9,7.17,4.61,22.9,103,229,594,29.4,64.9,4.96
122,33.7,1.29,4.87,11,3.92,20.7,269,19.1,38.5,14.1
37.5,23.9,7.1,4.41,5.67,10.3,19.6,292,29.2,42.2,18.8
81.3,24.6,1,5.42,11.2,6.49,18.6,466,20.4,42.2,25
30.8,20.5,8.06,1.47,28.9,29.7,47.4,655,12.6,31.3,7.7
30,19.6,2.76,2.37,1,20.7,36.5,835,23.3,42.9,24.4
20.4,45.7,2.89,1.31,6.61,20.5,40.3,250,10.7,46.6,94.7
11.1,41.8,4.26,7.77,9.22,19.1,27.6,209,1.91,85.8,3.16
176,93.9,7.04,3.92,13.7,28.6,41,250,11.9,23.5,15.7
53.8,23.1,1.05,1.39,29.4,4.26,24.4,449,10.5,27.9,5.23
44.5,23.7,6.79,3.4,12.5,31.9,57.3,221,46.1,65.5,38.9
61,53.3,8.74,1.01,19.1,5.88,37.5,1334,20.2,36.8,9.91
66.1,19.5,1.75,1,17,3.11,5.33,188,18.9,38.9,12.9
59.9,31.9,1,1.01,20.9,24.6,41.4,239,17,28.6,13.6
50.5,29.7,5.09,3.19,11.1,25.7,60.4,426,2.25,5.09,79.1
69.8,22.3,14.2,2.64,16.3,37.2,102,2738,25.7,57.8,37.5
106,30.2,1.01,5.14,10.6,14.9,30.8,457,3.96,34,114
6.1,35.9,11.7,2.84,4.61,150,229,784,16.7,32.8,88.2
9.73,17.5,4.18,5.62,4.66,22.3,36.5,322,23.1,62.1,79.1
47.8,34.3,11.4,6.98,25.7,49.6,98.2,538,22.5,31.9,8.28
103,69.8,33.1,7.77,42.9,16,44.5,1114,25.3,43.7,12.7
74.3,38.5,3.11,1.01,12.4,15.4,34,538,30.2,64.4,23.3
72.3,18.9,5.94,5.67,2.44,9.31,23.7,557,46.1,77.7,32.8
11.9,49.6,8.35,3.08,8.2,29.2,202,191,13.9,37.5,10.4
31.9,12.9,1.98,1.01,3.75,47.4,103,1928,50.5,109,55.2
48.3,19.1,3.08,1.96,8.13,13.8,44.9,1134,22.1,41.8,6.92
75,27.1,2.46,1.01,17.3,38.9,92.2,770,21.9,35.5,21.9
74.3,26.4,7.7,7.3,1.58,10.6,25.7,400,8.43,18.4,6.61
58.3,27.9,8.43,1.01,4.66,22.9,54.7,346,14.9,24.6,6.26
49.1,23.1,1.83,1.7,15,47,104,2072,39.2,73,38.5
79.1,23.5,5.23,4.66,15.3,15.8,32.5,379,25,57.8,29.2
104,64.9,11.9,1,23.5,54.7,112,704,17.6,36.8,12.3
42.9,39.2,10.9,3.31,12.3,36.2,76.4,487,13.7,31.3,11.1
87.4,39.2,1.01,4.07,5.09,62.1,111,365,13,32.8,20.2
53.8,18.9,5,1.54,17.2,22.3,38.9,189,28.4,78.4,20
48.7,30,9.31,1.67,2.25,20.2,36.8,437,4.07,67.3,2.57
40.3,22.9,3.46,6.26,14.1,29.4,209,1554,27.9,53.8,23.9
82,42.2,4,5.33,9.06,7.99,18.4,385,14.7,13,7.17
35.9,14.7,9.39,11.8,45.7,22.5,36.5,221,2.62,23.9,68.5
38.5,20.2,16.4,8.43,22.3,27.6,49.6,250,20.5,49.1,17.3
53.8,27.4,3.05,1.68,24.8,23.3,44.9,359,26.4,60.4,42.2
56.2,19.8,9.91,4.87,6.73,26.7,41,221,28.4,40,9.73
51.9,12.5,4.29,1.18,7.84,13.9,28.4,284,22.1,55.7,15.4
57.3,23.7,9.56,1.83,9.47,17.6,49.6,717,22.1,40.3,12.1
110,65.5,8.35,1.01,20.4,18.1,33.1,396,35.9,66.1,19.3
61,41,3.96,3.92,19.8,27.6,44.5,355,28.9,69.2,34.9
70.4,24.6,1,4.53,42.9,79.1,155,2227,3.96,12,33.4
62.6,23.1,3.34,3.31,14.3,14.5,27.6,355,17.8,30.2,3.4
113,73,1,1.31,11.5,8.74,31.1,487,40,79.9,43.7
91.4,25,4.33,1.46,18.3,7.43,17.3,433,6.38,34.6,175
